timestamp,profile,user_question,bot_response,is_handled
2025-09-24T17:02:18.226109,bonjour,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Pouvez-vous reformuler ou me poser une autre question ?",False,student
2025-10-02T08:52:16.598174,hello,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-02T10:28:59.494676,Où trouver mon emploi du temps ?,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-02T10:29:09.779711,agenda,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-02T10:31:34.135021,Où trouver mon emploi du temps ?,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-07T10:29:33.963690,mon agenda,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-07T10:31:28.697127,Mon agenda ?,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-07T10:31:47.842017,Où se trouve mes classes pour cette semaine ?,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-07T11:01:36.208519,Je cherche la bibliothèque universitaire,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-08T12:54:54.426021,bon,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-08T12:54:57.379146,cours,"Désolé, je n'ai pas trouvé de réponse pertinente à votre question. Je l'ai notée pour nos administrateurs.",False,student
2025-10-09T09:07:51.312361,Contact scolarité,Vous pouvez contacter la scolarité par email scolarité@ism.edu ou au +221 77 092 00 96 pendant les heures d'ouverture.,True,qww
2025-10-09T09:08:11.034322,Je cherche à joindre le service de la scolarité ?,Vous pouvez contacter la scolarité par email scolarité@ism.edu ou au +221 77 092 00 96 pendant les heures d'ouverture.,True,qww
2025-10-09T09:10:14.738609,Je cherche à joindre le service de la scolarité ?,Vous pouvez contacter la scolarité par email scolarité@ism.edu ou au +221 77 092 00 96 pendant les heures d'ouverture.,True,cheihk
2025-10-09T09:10:48.847140,Où je peux voir mes cours ?,"Il faut vous rendre au niveau de votre mail edu puis chercher le mail dont le libellé est ""Mon agenda"" après cliquer sur cet email pour l'ouvrir. Vous verrez un agenda portant le nom de votre classe. Il vous suffit de cliquer sur le lien ""Ajouter cet Agenda"" de sorte à pouvoir le visualiser sur votre google agenda. Pour chaque cours vous verrez l'intitulé du module, le nom du professeur, la salle de classe, l'heure de début et de fin du cours",True,cheihk
2025-10-13T14:55:47.823215,cours,"Il faut vous rendre au niveau de votre mail edu puis chercher le mail dont le libellé est ""Mon agenda"" après cliquer sur cet email pour l'ouvrir. Vous verrez un agenda portant le nom de votre classe. Il vous suffit de cliquer sur le lien ""Ajouter cet Agenda"" de sorte à pouvoir le visualiser sur votre google agenda. Pour chaque cours vous verrez l'intitulé du module, le nom du professeur, la salle de classe, l'heure de début et de fin du cours",True,Ã‰TUDIANT,mina@ism.edu.sn
2025-10-14T09:14:34.012771,mon agenda,"Il faut vous rendre au niveau de votre mail edu puis chercher le mail dont le libellé est ""Mon agenda"" après cliquer sur cet email pour l'ouvrir. Vous verrez un agenda portant le nom de votre classe. Il vous suffit de cliquer sur le lien ""Ajouter cet Agenda"" de sorte à pouvoir le visualiser sur votre google agenda. Pour chaque cours vous verrez l'intitulé du module, le nom du professeur, la salle de classe, l'heure de début et de fin du cours",True,Ã‰TUDIANT,tinguelle@berthe
2025-10-18T17:42:22.071059,cours,La base de connaissances n'a pas pu être chargée. Veuillez contacter l'administrateur.,False,ÉTUDIANT,mina@ism.edu
2025-10-18T17:42:34.283936,agenda,La base de connaissances n'a pas pu être chargée. Veuillez contacter l'administrateur.,False,ÉTUDIANT,mina@ism.edu
2025-10-18T17:49:34.787659,cours,La base de connaissances n'a pas pu être chargée. Veuillez contacter l'administrateur.,False,ÉTUDIANT,cops@ism.edu
2025-10-18T18:11:47.348442,cours,La base de connaissances n'a pas pu être chargée. Veuillez contacter l'administrateur.,False,ÉTUDIANT,imzo@ism
2025-10-18T19:07:51.586332,cours,"Il faut vous rendre au niveau de votre mail edu puis chercher le mail dont le libellé est ""Mon agenda"" après cliquer sur cet email pour l'ouvrir. Vous verrez un agenda portant le nom de votre classe. Il vous suffit de cliquer sur le lien ""Ajouter cet Agenda"" de sorte à pouvoir le visualiser sur votre google agenda. Pour chaque cours vous verrez l'intitulé du module, le nom du professeur, la salle de classe, l'heure de début et de fin du cours",True,ÉTUDIANT,mina@ism
